nome,cpf,idade,data,endereco,estado
Eloah Cardoso,249.086.135-24,6,2018-05-20,"setor novaes, 17
conjunto lagoa
80736-021 albuquerque / sp",rio de janeiro
Mateus Castro,380.175.964-48,12,2011-10-20,"parque de aparecida
minas caixa
39471-329 alves / sp",são paulo
Dr. Yuri Da Costa,964.320.185-60,12,2012-01-31,"jardim jesus, 28
marçola
00487098 brito de da cunha / am",sergipe
Sr. Murilo Carvalho,284.601.593-70,6,2018-01-04,"via da costa
xodo-marize
35059-778 ribeiro / ac",amazonas
Maria Pacheco,947.036.158-00,9,2015-01-06,"condomínio nunes, 98
são jorge 1ª seção
91521519 fogaça grande / df",rio grande do norte
Luiz Henrique Pimenta,813.674.920-50,6,2018-02-11,"travessa moura, 15
jaqueline
79697980 silva do oeste / sc",pernambuco
Maria Alice Da Paz,567.908.134-20,15,2008-12-21,"colônia lunna farias
camponesa 1ª seção
85210191 cavalcanti / rn",ceará
Sr. Théo Sales,042.869.317-22,6,2018-07-29,"alameda pinto, 29
minas caixa
28415848 ribeiro / pe",são paulo
João Felipe Martins,703.469.581-48,9,2014-12-14,"colônia ribeiro, 41
vila bandeirantes
14650912 costa do norte / rj",mato grosso
Mirella Machado,163.459.872-55,8,2015-12-26,"aeroporto maria helena souza, 64
conjunto bonsucesso
30546835 abreu do norte / pi",pará
